temp,location,clouds,pressure,rain,time_stamp,humidity,wind,location_encoded
42.42,Back Bay,1.0,1012.14,0.1228,1545003901,0.77,11.25,0
42.43,Beacon Hill,1.0,1012.15,0.1846,1545003901,0.76,11.32,1
42.5,Boston University,1.0,1012.15,0.1089,1545003901,0.76,11.07,2
42.11,Fenway,1.0,1012.13,0.0969,1545003901,0.77,11.09,3
43.13,Financial District,1.0,1012.14,0.1786,1545003901,0.75,11.49,4
42.34,Haymarket Square,1.0,1012.15,0.2068,1545003901,0.77,11.49,5
42.36,North End,1.0,1012.15,0.2088,1545003901,0.77,11.46,6
42.21,North Station,1.0,1012.16,0.2069,1545003901,0.77,11.37,7
42.07,Northeastern University,1.0,1012.12,0.102,1545003901,0.78,11.28,8
43.05,South Station,1.0,1012.12,0.1547,1545003901,0.75,11.58,9
42.09,Theatre District,1.0,1012.13,0.1428,1545003901,0.78,11.41,10
43.28,Back Bay,0.81,990.81,-0.01692892873757046,1543347920,0.71,8.3,0
43.27,Beacon Hill,0.8,990.8,-0.017378705176341214,1543347920,0.71,8.3,1
43.35,Boston University,0.82,990.82,-0.016840708721943543,1543347920,0.71,8.24,2
43.07,Fenway,0.82,990.82,-0.016216975043150228,1543347920,0.72,8.28,3
43.35,Financial District,0.8,990.8,-0.01599285982987908,1543347920,0.71,8.35,4
43.2,Haymarket Square,0.8,990.79,-0.01679388349592159,1543347920,0.71,8.31,5
43.24,North End,0.8,990.79,-0.016409681486365457,1543347920,0.71,8.32,6
41.95,North Station,0.81,991.63,0.025605381043092734,1543347920,0.73,10.87,7
43.05,Northeastern University,0.81,990.82,-0.015573606764846204,1543347920,0.72,8.31,8
43.31,South Station,0.8,990.8,0.0023,1543347920,0.71,8.36,9
43.05,Theatre District,0.8,990.8,-0.015427337355276904,1543347920,0.72,8.34,10
41.89,West End,0.81,991.64,0.026684040546001597,1543347920,0.74,10.88,11
43.92,North Station,1.0,1006.29,0.0409,1543277833,0.9,10.09,7
43.87,Northeastern University,1.0,1006.24,0.0284,1543277833,0.91,9.74,8
39.23,Back Bay,0.83,996.09,0.027972184932849586,1543449727,0.66,10.67,0
